Arrival Delay,Arrival Time,Arrival Uncertainty,Departure Delay,Departure Time,Departure Uncertainty, Schedule Relationship,Stop ID,Stop Sequence,Trip ID,Request Timestamp,Delay
49,2019-06-03 10:44:49,0,49,2019-06-03 10:44:49,0,SCHEDULED,8100,13,49,2019-06-03 17:02:15,0
38,2019-06-03 11:14:38,0,38,2019-06-03 11:14:38,0,SCHEDULED,8129,13,176,2019-06-03 17:02:15,0
18,2019-06-03 11:44:18,0,18,2019-06-03 11:44:18,0,SCHEDULED,8100,13,55,2019-06-03 17:02:15,0
1,2019-06-03 12:14:01,0,1,2019-06-03 12:14:01,0,SCHEDULED,8129,13,182,2019-06-03 17:02:15,0
-19,2019-06-03 12:43:41,0,-19,2019-06-03 12:43:41,0,SCHEDULED,8100,13,61,2019-06-03 17:02:15,0
-16,2019-06-03 13:13:44,0,-16,2019-06-03 13:13:44,0,SCHEDULED,8129,13,188,2019-06-03 17:02:15,0
-18,2019-06-03 13:43:42,0,-18,2019-06-03 13:43:42,0,SCHEDULED,8100,13,67,2019-06-03 17:02:15,0
82,2019-06-03 14:15:22,0,82,2019-06-03 14:15:22,0,SCHEDULED,8129,13,194,2019-06-03 17:02:15,0
-2,2019-06-03 14:43:58,0,-2,2019-06-03 14:43:58,0,SCHEDULED,8100,13,73,2019-06-03 17:02:15,0
37,2019-06-03 15:14:37,0,37,2019-06-03 15:14:37,0,SCHEDULED,8129,13,200,2019-06-03 17:02:15,0
67,2019-06-03 15:45:07,0,67,2019-06-03 15:45:07,0,SCHEDULED,8100,13,79,2019-06-03 17:02:15,0
47,2019-06-03 16:14:47,0,47,2019-06-03 16:14:47,0,SCHEDULED,8129,13,210,2019-06-03 17:02:15,0
81,2019-06-03 16:49:21,0,81,2019-06-03 16:49:21,0,SCHEDULED,8100,13,91,2019-06-03 17:02:15,0
39,2019-06-03 17:02:10,0,39,2019-06-03 17:02:30,0,SCHEDULED,8110,5,220,2019-06-03 17:02:15,0
0,2019-06-03 17:24:00,1,0,2019-06-03 17:24:00,1,SCHEDULED,8129,1,101,2019-06-03 17:02:15,0
0,2019-06-03 17:51:00,1,0,2019-06-03 17:51:00,1,SCHEDULED,8100,1,231,2019-06-03 17:02:15,0
132,2019-06-03 16:02:12,0,132,2019-06-03 16:02:12,0,SCHEDULED,8100,5,82,2019-06-03 17:02:15,0
101,2019-06-03 16:31:41,0,101,2019-06-03 16:31:41,0,SCHEDULED,8129,13,212,2019-06-03 17:02:15,0
85,2019-06-03 17:01:25,0,85,2019-06-03 17:01:25,0,SCHEDULED,8100,13,93,2019-06-03 17:02:15,0
0,2019-06-03 17:06:00,1,0,2019-06-03 17:06:00,1,SCHEDULED,8100,1,222,2019-06-03 17:02:15,0
0,2019-06-03 17:36:00,1,0,2019-06-03 17:36:00,1,SCHEDULED,8129,1,103,2019-06-03 17:02:15,0
0,2019-06-03 18:03:00,1,0,2019-06-03 18:03:00,1,SCHEDULED,8100,1,234,2019-06-03 17:02:15,0
0,2019-06-03 16:10:00,0,0,2019-06-03 16:10:00,0,SCHEDULED,8100,5,85,2019-06-03 17:02:15,0
